userId,username,totalPoints
8335950,"Reedkatt",195.294522
17724014,"alfiu",193.732778
10852203,"yencis",193.011737
13380270,"Kama",190.489386
8529128,"Victoor",188.649304
10903510,"trumpatino69",186.604557
4301976,"Hifkil",186.085779
16348690,"Adomeium",185.140131
18111064,"eruhar",184.886014
15780777,"big_tatik",184.777297
11800154,"Sherbet",183.404669
11604978,"perthed again",182.402981
12595640,"Bajan Canadian",181.464272
16900233,"awesome sauce",178.581032
17446380,"bananachi",178.046486
11198996,"A21",176.904396
9719351,"minefieldsurfer",176.603178
9276293,"EzChock",175.417808
13065919,"R1cho",175.214756
7333471,"nuxx",175.175084
1419095,"Aricin",173.981300
9203793,"xep",173.300387
10748631,"Tommy315",173.039504
9820878,"Kotsik",172.014813
11310423,"ozy",171.906178
10652837,"Rammu",168.563727
10073635,"dench",168.156221
4650315,"idke",167.464288
19998548,"suntanCTM",167.140207
4470775,"razorfruit",165.618114
13068741,"LyeRR",164.579777
12110337,"Binninja",163.732072
7806847,"suly",163.430212
7246165,"Kageno",163.337464
16263219,"[Eclipse]",163.010819
5477343,"kurtis-",162.948798
12252724,"honque",161.781370
17707250,"aspen",161.402002
3533958,"fieryrage",160.154517
11626318,"reused",159.876900
17649390,"pupusa",159.440701
2675255,"hqshe",159.243080
6600930,"yamss",158.727719
7657831,"justman",157.339328
6942259,"Rebo",157.288871
12353810,"papercandle",157.269677
5177569,"yip",156.004483
16800870,"alexsandll",154.184536
8581210,"8581210",153.898469
11883736,"towren",153.834874
6479616,"Mornis",153.686900
15556397,"yodeston",153.552806
8370755,"_Twent",153.164960
5154946,"Bernkastel",152.947556
7027766,"Chipori",151.283035
24486749,"AstroVnz",150.854848
11715109,"AlmightyDoor",149.994090
11962818,"flowering",148.663032
11466630,"xoxyl",148.036862
5645231,"decaten",147.882567
4432408,"Toesu",146.344524
9961301,"Daisuke Narotan",145.481234
14547194,"Azertyran",144.980716
9902255,"Apostol",144.516920
10975777,"CutPaper",144.391420
4845266,"haruchi",143.984150
12667143,"Rykic",143.796845
7438459,"ricoel",142.091042
3149577,"Coreanmaluco",141.991813
14267996,"Cocali",141.397201
16774872,"skia1",140.503477
2944449,"marwin",140.079904
7351448,"fedotoff",139.592291
7892320,"Zeisen Udongein",139.155178
15567583,"MYKEYBOARD",138.950477
12776754,"Joyi",138.832010
16385977,"CBarAM06uJlb",138.094931
7469192,"nobully",136.814913
6399568,"YokesPai",136.402427
11987104,"Eagle5324",136.129860
6114695,"ciru",135.717829
20250190,"orngoos",135.582376
754565,"Dustice",135.070018
12254421,"ZaNy_",134.867974
11456186,"nevergrace",134.785158
9513980,"Tartis",134.250554
14436159,"kt09-",133.975284
